Symbol,Date,Open,High,Low,Close,Volume,Adj Close
IBM,2013-01-02,194.09,196.35,193.8,196.35,4234100,194.61
MSFT,2013-01-02,27.25,27.73,27.15,27.62,52899300,27.2
AMZN,2013-01-02,256.08,258.1,253.26,257.31,3271000,257.31
IBM,2013-01-03,195.67,196.29,194.44,195.27,3644700,193.54
MSFT,2013-01-03,27.63,27.65,27.16,27.25,48294400,26.84
AMZN,2013-01-03,257.27,260.88,256.37,258.48,2750900,258.48
IBM,2013-01-04,194.19,194.46,192.78,193.99,3380200,192.28
MSFT,2013-01-04,27.27,27.34,26.73,26.74,52521100,26.34
AMZN,2013-01-04,257.58,259.8,256.65,259.15,1874200,259.15
IBM,2013-01-07,193.4,193.78,192.34,193.14,2862300,191.43
MSFT,2013-01-07,26.77,26.88,26.64,26.69,37110400,26.29
AMZN,2013-01-07,262.97,269.73,262.67,268.46,4910000,268.46
IBM,2013-01-08,192.92,193.3,191.6,192.87,3026900,191.17
MSFT,2013-01-08,26.75,26.79,26.46,26.55,44703100,26.15
AMZN,2013-01-08,267.07,268.98,263.57,266.38,3010700,266.38
IBM,2013-01-09,193.48,193.49,191.65,192.32,3212000,190.62
MSFT,2013-01-09,26.72,26.75,26.56,26.7,49047900,26.3
AMZN,2013-01-09,268.17,269.5,265.4,266.35,2265600,266.35
IBM,2013-01-10,192.65,192.96,191.28,192.88,3608100,191.18
MSFT,2013-01-10,26.65,26.98,26.29,26.46,71431300,26.06
AMZN,2013-01-10,268.54,268.74,262.3,265.34,2863400,265.34
IBM,2013-01-11,194.15,195.0,192.9,194.45,3880400,192.73
MSFT,2013-01-11,26.49,26.93,26.28,26.83,55512100,26.42
AMZN,2013-01-11,265.1,268.43,264.11,267.94,2413300,267.94
IBM,2013-01-14,192.82,193.28,191.75,192.62,4172200,190.92
MSFT,2013-01-14,26.9,27.08,26.76,26.89,48324400,26.48
AMZN,2013-01-14,268.0,274.26,267.54,272.73,4275000,272.73
IBM,2013-01-15,191.31,192.73,190.39,192.5,4172100,190.8
MSFT,2013-01-15,26.83,27.29,26.83,27.21,48244500,26.8
AMZN,2013-01-15,270.68,272.73,269.3,271.9,2326900,271.9
IBM,2013-01-16,192.0,193.18,191.35,192.59,2962900,190.89
MSFT,2013-01-16,27.15,27.23,27.01,27.04,41077400,26.63
AMZN,2013-01-16,270.53,271.24,267.83,268.93,2065600,268.93
IBM,2013-01-17,193.85,194.46,193.24,193.65,3881600,191.94
MSFT,2013-01-17,27.19,27.47,27.06,27.25,51685900,26.84
AMZN,2013-01-17,271.5,271.97,269.21,270.48,1884600,270.48
IBM,2013-01-18,194.03,195.0,193.8,194.47,4559600,192.75
MSFT,2013-01-18,27.1,27.29,27.04,27.25,52167700,26.84
AMZN,2013-01-18,270.83,274.5,269.6,272.12,2942000,272.12
IBM,2013-01-22,194.36,196.08,194.01,196.08,7172300,194.35
MSFT,2013-01-22,27.3,27.45,27.0,27.15,58650600,26.74
AMZN,2013-01-22,271.62,272.1,269.23,270.19,2137700,270.19
IBM,2013-01-23,203.5,208.58,203.36,204.72,12530500,202.91
MSFT,2013-01-23,27.2,27.64,27.2,27.61,50387700,27.19
AMZN,2013-01-23,270.57,271.09,266.65,268.11,2508900,268.11
IBM,2013-01-24,203.91,205.06,203.08,204.42,4447200,202.61
MSFT,2013-01-24,27.7,28.07,27.47,27.63,101739300,27.21
AMZN,2013-01-24,269.37,276.65,269.37,273.46,3417000,273.46
IBM,2013-01-25,204.45,205.18,204.13,204.97,3358900,203.16
MSFT,2013-01-25,27.58,28.23,27.39,27.88,81847700,27.46
AMZN,2013-01-25,275.0,284.72,274.4,283.99,4968100,283.99
IBM,2013-01-28,204.85,206.22,204.29,204.93,2823700,203.12
MSFT,2013-01-28,28.01,28.23,27.76,27.91,56056500,27.49
AMZN,2013-01-28,283.78,284.48,274.4,276.04,4321400,276.04
IBM,2013-01-29,204.34,205.73,203.64,203.9,3617100,202.1
MSFT,2013-01-29,27.82,28.13,27.6,28.01,49242600,27.59
AMZN,2013-01-29,275.35,275.46,258.35,260.35,10172600,260.35
IBM,2013-01-30,203.69,204.88,203.19,203.52,2998400,201.72
MSFT,2013-01-30,28.01,28.19,27.76,27.85,43580500,27.43
AMZN,2013-01-30,283.0,284.2,267.11,272.76,13075400,272.76
IBM,2013-01-31,203.32,204.47,202.96,203.07,3091400,201.28
MSFT,2013-01-31,27.79,27.97,27.4,27.45,50530000,27.04
AMZN,2013-01-31,271.04,275.94,263.7,265.5,6772100,265.5
IBM,2013-02-01,204.65,205.35,203.84,205.18,3370700,203.37
MSFT,2013-02-01,27.67,28.05,27.55,27.93,55565900,27.51
AMZN,2013-02-01,268.93,268.93,262.8,265.0,6115000,265.0
IBM,2013-02-04,204.19,205.02,203.57,203.79,3188800,201.99
MSFT,2013-02-04,27.87,28.02,27.42,27.44,50540000,27.03
AMZN,2013-02-04,262.78,264.68,259.07,259.98,3723600,259.98
IBM,2013-02-05,204.31,204.75,202.51,202.79,3636900,201.0
MSFT,2013-02-05,27.62,27.66,27.36,27.5,35410400,27.08
AMZN,2013-02-05,262.0,268.03,261.46,266.89,4012900,266.89
IBM,2013-02-06,200.39,201.29,199.56,201.02,3624200,200.08
MSFT,2013-02-06,27.38,27.54,27.25,27.34,41889600,26.93
AMZN,2013-02-06,265.16,266.89,261.11,262.22,2770400,262.22
IBM,2013-02-07,200.62,200.91,198.68,199.74,3076700,198.81
MSFT,2013-02-07,27.35,27.39,27.1,27.28,38028300,26.87
AMZN,2013-02-07,264.1,264.1,255.11,260.23,3975700,260.23
IBM,2013-02-08,199.97,202.09,199.68,201.68,2893300,200.74
MSFT,2013-02-08,27.35,27.71,27.31,27.55,33318500,27.13
AMZN,2013-02-08,261.4,265.25,260.55,261.95,3879200,261.95
IBM,2013-02-11,200.98,201.95,199.75,200.16,2944700,199.23
MSFT,2013-02-11,27.65,27.92,27.5,27.86,32247700,27.44
AMZN,2013-02-11,263.2,263.25,256.6,257.21,3403700,257.21
IBM,2013-02-12,200.01,200.74,199.02,200.04,2461800,199.11
MSFT,2013-02-12,27.88,28.0,27.75,27.88,35990900,27.46
AMZN,2013-02-12,259.19,260.16,257.0,258.7,2943700,258.7
IBM,2013-02-13,200.65,200.95,199.57,200.09,2169800,199.16
MSFT,2013-02-13,27.93,28.11,27.88,28.03,41715600,27.61
AMZN,2013-02-13,261.53,269.96,260.3,269.47,5293000,269.47
IBM,2013-02-14,199.73,200.32,199.26,199.65,3294200,198.72
MSFT,2013-02-14,27.92,28.06,27.87,28.04,32663200,27.62
AMZN,2013-02-14,267.37,270.65,265.4,269.24,3463000,269.24
IBM,2013-02-15,199.98,201.25,199.82,200.98,3627800,200.04
MSFT,2013-02-15,28.04,28.16,27.88,28.01,49650900,27.59
AMZN,2013-02-15,267.63,268.92,263.11,265.09,3979900,265.09
IBM,2013-02-19,200.6,201.89,200.22,200.32,2998300,199.39
MSFT,2013-02-19,27.88,28.09,27.8,28.05,38781400,27.85
AMZN,2013-02-19,265.91,270.11,264.5,269.75,2854200,269.75
IBM,2013-02-20,200.62,201.72,198.86,199.31,3715400,198.38
MSFT,2013-02-20,28.13,28.2,27.83,27.87,44110200,27.68
AMZN,2013-02-20,270.2,274.3,266.37,266.41,3528900,266.41
IBM,2013-02-21,198.63,199.07,198.11,198.33,3922900,197.4
MSFT,2013-02-21,27.74,27.74,27.23,27.49,49078500,27.3
AMZN,2013-02-21,265.12,269.48,263.25,265.94,3637400,265.94
IBM,2013-02-22,199.23,201.09,198.84,201.09,3107900,200.15
MSFT,2013-02-22,27.68,27.76,27.48,27.76,31425900,27.57
AMZN,2013-02-22,266.62,267.11,261.61,265.42,3124800,265.42
IBM,2013-02-25,201.67,202.49,197.51,197.51,3844800,196.59
MSFT,2013-02-25,27.97,28.05,27.37,27.37,48011800,27.18
AMZN,2013-02-25,266.94,268.69,259.65,259.87,3032400,259.87
IBM,2013-02-26,198.63,199.9,197.84,199.14,3391600,198.21
